robot,scenario,solver,display_name,n,status,success_pct,mean_ms,p50_ms,p95_ms,p99_ms,mean_iters,our_collision_pct,our_mean_clearance_m,our_mean_pos_mm,our_mean_orient_mrad,mean_joint_limit_violations,mean_restarts,mean_conflict_index,mean_difficulty_score,mean_sigma_ratio,mean_free_energy,pb_success_pct,pb_success_agree_pct,pb_collision_pct,pb_mean_clearance_m,pb_mean_pos_mm,pb_mean_orient_mrad,mj_success_pct,mj_success_agree_pct,mj_collision_pct,mj_mean_clearance_m,mj_mean_pos_mm,mj_mean_orient_mrad,pb_mj_collision_agree_pct
planar3dof,open_space,analytical_planar3dof,"Analytical IK (Planar 3-DOF, exact)",5,ok,100.0,0.12439999999998008,0.1250999999999891,0.12851999999998753,0.1291439999999966,1.0,0.0,0.2031362084585732,1.2181517966558065e-13,7.265287806297134e-17,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
planar3dof,open_space,protein_fast,ProteinIK Fast (V4),5,ok,100.0,0.03441999999997947,0.01819999999996824,0.06977999999997486,0.07491599999997156,38.2,0.0,0.2031057087615658,0.4490118218126753,0.00478956284223844,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
planar3dof,open_space,protein_fast_calib,ProteinIK Fast (V4 real-calib),5,ok,100.0,0.03533999999998372,0.018999999999991246,0.07146000000000097,0.07669200000001819,38.2,0.0,0.2031057087615658,0.4490118218126753,0.00478956284223844,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
planar3dof,open_space,protein_fast_o2,ProteinIK Fast (V4+o2 IAM),5,ok,100.0,0.03452000000001565,0.01819999999996824,0.07028000000004475,0.07541600000004145,38.2,0.0,0.2031057087615658,0.4490118218126753,0.00478956284223844,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
planar3dof,open_space,protein_ik,ProteinIK (V1),5,ok,100.0,0.03955999999998294,0.027399999999899727,0.06882000000003607,0.07224400000004572,28.0,0.0,0.20316482409046657,0.5912227848205767,0.053258297626443116,0.0,0.6,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
planar3dof,open_space,protein_raw,ProteinIK Raw Biology (V6),5,ok,100.0,3.6305799999999833,3.6140999999999535,3.7280400000000657,3.7429680000000953,100.0,0.0,0.20663415910470068,1.8287703829130008e-06,4.5179104901649225e-08,0.0,12.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
planar3dof,open_space,trac_ik_style,TRAC-IK (real C++ TRACLabs),5,ok,100.0,0.16580000000001593,0.16499999999997073,0.21835999999999522,0.22359199999997692,1.0,0.0,0.20313638303227094,0.0007229712335426815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
planar3dof,near_singular,analytical_planar3dof,"Analytical IK (Planar 3-DOF, exact)",5,ok,100.0,0.115739999999942,0.11490000000002887,0.11891999999993352,0.11922399999993338,1.0,0.0,0.10686661204704037,9.458839087358545e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
planar3dof,near_singular,protein_fast,ProteinIK Fast (V4),5,ok,100.0,0.03335999999998229,0.03069999999993911,0.0490400000000335,0.0492480000000306,35.6,0.0,0.11182693565537574,0.525474617283794,0.002275065401789489,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
planar3dof,near_singular,protein_fast_calib,ProteinIK Fast (V4 real-calib),5,ok,100.0,0.0378400000000223,0.048000000000048004,0.052719999999961686,0.05334399999993522,35.6,0.0,0.11182693565537574,0.525474617283794,0.002275065401789489,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
planar3dof,near_singular,protein_fast_o2,ProteinIK Fast (V4+o2 IAM),5,ok,100.0,0.03148000000001705,0.029500000000015625,0.04637999999996811,0.04663599999995771,35.6,0.0,0.11182693565537574,0.525474617283794,0.002275065401789489,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
planar3dof,near_singular,protein_ik,ProteinIK (V1),5,ok,100.0,0.10970000000001257,0.15399999999998748,0.1710199999999773,0.17332399999995474,72.0,0.0,0.10273983102379373,0.8008313167551812,0.0896985356498636,0.0,3.6,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
planar3dof,near_singular,protein_raw,ProteinIK Raw Biology (V6),5,ok,100.0,3.5978200000000626,3.6351000000001132,3.666120000000106,3.6713840000000886,100.0,0.0,0.107466395318397,0.735521090896316,0.06177916388893194,0.0,12.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
planar3dof,near_singular,trac_ik_style,TRAC-IK (real C++ TRACLabs),5,ok,100.0,0.1516599999999979,0.14729999999996135,0.17279999999999518,0.17696000000000822,1.0,0.0,0.10800768420045295,0.005678163501964671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
planar3dof,cluttered,analytical_planar3dof,"Analytical IK (Planar 3-DOF, exact)",5,ok,100.0,0.1260599999999723,0.12330000000004837,0.13529999999990494,0.13705999999990226,1.0,80.0,-0.027266645458047117,1.6384103780420676e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
planar3dof,cluttered,protein_fast,ProteinIK Fast (V4),5,ok,100.0,0.3511599999999948,0.36130000000000884,0.56674000000001,0.5989480000000214,277.4,80.0,-0.005135943197443135,0.5345553292233759,0.05358156469178828,0.0,2.8,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
planar3dof,cluttered,protein_fast_calib,ProteinIK Fast (V4 real-calib),5,ok,100.0,0.36048000000001856,0.36239999999998496,0.592119999999996,0.6282639999999606,277.4,80.0,-0.005135943197443135,0.5345553292233759,0.05358156469178828,0.0,2.8,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
planar3dof,cluttered,protein_fast_o2,ProteinIK Fast (V4+o2 IAM),5,ok,100.0,0.21881999999995294,0.0893999999997952,0.587020000000038,0.6706040000000613,154.8,80.0,-0.008229156987715277,0.6074923165724833,0.15807703265273382,0.0,0.2,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
planar3dof,cluttered,protein_ik,ProteinIK (V1),5,ok,80.0,0.10246000000000421,0.06130000000004188,0.25042000000006226,0.27472400000007724,75.4,60.0,0.039571909216466895,169.57963693330024,596.6602306957849,0.0,4.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
