robot,scenario,solver,display_name,n,status,success_pct,mean_ms,p50_ms,p95_ms,p99_ms,mean_iters,our_collision_pct,our_mean_clearance_m,our_mean_pos_mm,our_mean_orient_mrad,mean_joint_limit_violations,mean_restarts,mean_conflict_index,mean_difficulty_score,mean_sigma_ratio,mean_free_energy,pb_success_pct,pb_success_agree_pct,pb_collision_pct,pb_mean_clearance_m,pb_mean_pos_mm,pb_mean_orient_mrad,mj_success_pct,mj_success_agree_pct,mj_collision_pct,mj_mean_clearance_m,mj_mean_pos_mm,mj_mean_orient_mrad,pb_mj_collision_agree_pct
planar3dof,open_space,analytical_planar3dof,"Analytical IK (Planar 3-DOF, exact)",5,ok,100.0,0.12103999999997228,0.11980000000000324,0.12540000000007545,0.1265200000000899,1.0,0.0,0.2031362084585732,1.2181517966558065e-13,7.265287806297134e-17,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
planar3dof,open_space,ccd,CCD (in-repo; no genuine upstream),5,ok,80.0,27.16216,11.727100000000101,82.32323999999997,96.23384799999997,81.6,20.0,0.14312348212621603,131.5295276877208,17.482988665113943,0.4,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
planar3dof,open_space,fabrik,FABRIK (in-repo; no genuine upstream),5,ok,80.0,18.854699999999983,6.753499999999857,55.262300000000046,64.47494000000006,41.6,20.0,0.14308853735185995,131.26978826244405,5.1703358610857,0.4,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
planar3dof,open_space,jacobian_dls,"Jacobian DLS (real RTB LM, single-shot)",5,ok,80.0,0.19186000000002146,0.19499999999994522,0.1976000000000422,0.19776000000002902,9.6,0.0,0.17475956418700714,132.85359201599493,152.23325293526688,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
planar3dof,open_space,multi_start,Multi-start (real RTB ik_LM restarts),5,ok,100.0,0.19712000000002838,0.18899999999999473,0.2332000000001333,0.24096000000015216,19.0,0.0,0.20663269034676954,0.0042729882015984655,6.822582841426402e-05,0.0,1.6,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
planar3dof,open_space,protein_fast,ProteinIK Fast (V4),5,ok,100.0,2.559200000000006,1.210699999999898,5.211719999999964,5.403223999999938,24.0,0.0,0.2031057087615658,0.3003992901400756,0.0007837956487333018,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
planar3dof,open_space,protein_fast_calib,ProteinIK Fast (V4 real-calib),5,ok,100.0,2.6035999999999504,1.1265999999998666,5.312619999999901,5.502763999999898,24.0,0.0,0.2031057087615658,0.3003992901400756,0.0007837956487333018,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
planar3dof,open_space,protein_fast_o2,ProteinIK Fast (V4+o2 IAM),5,ok,100.0,2.63469999999999,1.1646000000000711,5.380079999999898,5.581055999999895,24.0,0.0,0.2031057087615658,0.3003992901400756,0.0007837956487333018,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
planar3dof,open_space,protein_ik,ProteinIK (V1),5,ok,100.0,12.22158000000002,6.017799999999962,23.068500000000025,23.38930000000003,32.4,0.0,0.2031537166105747,0.3522397552174724,0.036724850495982765,0.0,1.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
planar3dof,open_space,trac_ik_style,TRAC-IK (real C++ TRACLabs),5,ok,100.0,0.19687999999997707,0.15929999999997335,0.2755599999999969,0.27751199999999976,1.0,0.0,0.2031356855213568,0.0006740610366360678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
planar3dof,near_singular,analytical_planar3dof,"Analytical IK (Planar 3-DOF, exact)",5,ok,100.0,0.11537999999990944,0.11499999999964317,0.11740000000006745,0.11788000000006349,1.0,0.0,0.10686661204704037,9.458839087358545e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
planar3dof,near_singular,ccd,CCD (in-repo; no genuine upstream),5,ok,20.0,78.95492000000002,94.74099999999996,96.58189999999998,96.81717999999996,248.4,0.0,0.10295300235817022,71.37451064451474,142.41855407161432,0.4,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
planar3dof,near_singular,fabrik,FABRIK (in-repo; no genuine upstream),5,ok,0.0,69.44710000000009,69.2469,70.63774000000001,70.84122800000002,150.0,40.0,0.016977101475259788,338.83835174589507,976.0511365873905,1.2,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
planar3dof,near_singular,jacobian_dls,"Jacobian DLS (real RTB LM, single-shot)",5,ok,80.0,0.18722000000002126,0.1870999999999956,0.19314000000001386,0.19318800000000635,14.0,0.0,0.08653862580439721,136.10838182958275,73.87233187182518,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
planar3dof,near_singular,multi_start,Multi-start (real RTB ik_LM restarts),5,ok,100.0,0.18452000000008795,0.1825000000001964,0.19898000000004856,0.2017160000000473,15.8,0.0,0.10689526741799812,0.006312613822814009,8.324309372335147e-05,0.0,1.2,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
planar3dof,near_singular,protein_fast,ProteinIK Fast (V4),5,ok,100.0,9.532340000000072,6.312400000000107,20.72690000000001,22.654420000000002,82.8,0.0,0.10848323981835942,0.5302223226095427,0.0191355699842405,0.0,0.4,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
planar3dof,near_singular,protein_fast_calib,ProteinIK Fast (V4 real-calib),5,ok,100.0,9.589300000000023,6.233500000000003,21.086480000000037,23.009376000000064,82.8,0.0,0.10848323981835942,0.5302223226095427,0.0191355699842405,0.0,0.4,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
