mode,robot,scenario,label,is_v5,compA,compB,compC,c_threshold,lambda_beta,n,success_pct,ci95_pp,mean_ms,p50_ms,p95_ms,p99_ms,mean_iters,collision_pct,mean_clearance_m,mean_pos_err_mm,mean_orient_err_mrad,mean_jlv,mean_restarts,mean_conflict_index,mean_lambda_final,lambda_lt08_pct,mean_difficulty
diagnostics,ur5,open_space,CCH-IK (full V5),True,,,,,,30,93.33333333333333,9.738077094151375,1004.0523866666869,597.1416500105988,2382.5547650107183,2543.8157189881895,664.4333333333333,16.666666666666664,0.010295831992992829,49.48726544818431,83.38310532872444,0.16666666666666666,3.0,0.5692384631288105,0.6040647820836338,43.333333333333336,0.7346713621543143
diagnostics,ur5,open_space,fixed_lambda_ik,False,,,,,,30,93.33333333333333,9.738077094151375,1089.8847233348836,709.5810000027996,2531.867430008424,2715.7261770014884,673.7,16.666666666666664,0.010271568186252236,51.289483719458,16.836253349146695,0.03333333333333333,3.0,0.5742513034784011,0.98425,0.0,0.0
diagnostics,ur5,open_space,protein_fast,False,,,,,,30,100.0,5.6758545695239,10.715669997928975,3.021600001375191,10.75440499989781,151.07311098807276,52.1,3.3333333333333335,0.01571987630226305,0.17071459447246232,0.2853406736417753,0.0,0.1,0.0,1.0,0.0,0.0
ablation,ur5,open_space,A1 B1 C1,True,1,1,1,,,30,93.33333333333333,9.738077094151375,1019.02717333287,602.73655000492,2422.667269987869,2584.5942040040973,664.4333333333333,16.666666666666664,0.010295831992992829,49.48726544818431,83.38310532872444,0.16666666666666666,3.0,0.5692384631288105,0.6040647820836338,43.333333333333336,0.7346713621543143
ablation,ur5,open_space,A1 B1 C0,True,1,1,0,,,30,93.33333333333333,9.738077094151375,1008.3402133362446,611.3261500140652,2383.854435008834,2547.428014994366,664.8666666666667,13.333333333333334,0.011042842518538348,49.4349301462761,83.30008413248501,0.16666666666666666,3.0,0.5494463196559703,0.6427924745055458,40.0,0.7371435883954668
ablation,ur5,open_space,A1 B0 C1,True,1,0,1,,,30,93.33333333333333,9.738077094151375,1023.9597200018276,615.2825499884784,2505.3100099990843,2776.936194991577,653.2,13.333333333333334,0.011651519143712848,48.21762973196444,89.39205053673903,0.16666666666666666,3.0,0.6395273419285203,0.6026009083171425,46.666666666666664,0.728798722373638
ablation,ur5,open_space,A1 B0 C0,True,1,0,0,,,30,93.33333333333333,9.738077094151375,1262.7243066672236,735.8845500129974,3038.0282099969913,3357.849019012647,693.6333333333333,10.0,0.012398529669258373,50.45302258281903,90.99052354099912,0.2,3.0,0.6998055893791193,0.6402509996549279,43.333333333333336,0.742656088653484
ablation,ur5,open_space,A0 B1 C1,True,0,1,1,,,30,90.0,11.080757659647501,1205.258479998641,752.0545000152197,2984.4346499987296,3081.5684830132523,657.5666666666667,10.0,0.012129015252552725,42.79478182487948,14.847456407622339,0.1,3.0,0.4633861563037183,0.9772500000000001,0.0,0.6266655651602385
ablation,ur5,open_space,A0 B1 C0,True,0,1,0,,,30,90.0,11.080757659647501,1221.9593700031207,736.5786000009393,3129.290320017026,3164.4956840135274,657.7666666666667,13.333333333333334,0.011382010497693178,49.22960201783136,17.239510681343734,0.13333333333333333,3.0,0.5279528002520125,0.97775,0.0,0.647016986256061
ablation,ur5,open_space,A0 B0 C1,True,0,0,1,,,30,93.33333333333333,9.738077094151375,1375.8044299970304,999.5567500009201,3070.4773299919907,3276.7362159930053,673.6,16.666666666666664,0.010003670608559551,51.25759187684821,16.696568508351877,0.03333333333333333,3.0,0.5720665745760186,0.984,0.0,0.6518859080048665
ablation,ur5,open_space,A0 B0 C0,True,0,0,0,,,30,93.33333333333333,9.738077094151375,1319.6015933315114,858.0022999958601,3031.854824995389,3255.9532190056057,673.6,16.666666666666664,0.010004541456299436,51.306776179949246,16.913245568833847,0.03333333333333333,3.0,0.551317909011875,0.984,0.0,0.6489846841603745
diagnostics,ur5,near_singular,CCH-IK (full V5),True,,,,,,30,96.66666666666667,8.039953798736569,1358.2490200002212,1049.319950005156,2748.239100001228,3851.3855189937763,692.3666666666667,16.666666666666664,0.006002927441479746,23.91414723014055,5.519983879783578,0.1,3.0,0.5538989262812284,0.6217032035889294,40.0,0.6665792962153455
diagnostics,ur5,near_singular,fixed_lambda_ik,False,,,,,,30,93.33333333333333,9.738077094151375,1224.4123300033,824.0072500047972,2567.4294050040767,2665.7897090227925,746.6666666666666,16.666666666666664,0.005855944088212158,39.811172249173524,6.973322781303652,0.0,3.0,0.6300311210532821,1.0,0.0,0.0
diagnostics,ur5,near_singular,protein_fast,False,,,,,,30,100.0,5.6758545695239,23.503873330385733,4.453150002518669,98.49403000698645,217.34031101252197,78.83333333333333,0.0,0.018231985244611514,0.2830384902555975,0.8453901528931488,0.0,0.3,0.0,1.0,0.0,0.0
ablation,ur5,near_singular,A1 B1 C1,True,1,1,1,,,30,96.66666666666667,8.039953798736569,1060.8571333315922,648.136349991546,2121.052725020853,2454.0628890201333,692.3666666666667,16.666666666666664,0.006002927441479746,23.91414723014055,5.519983879783578,0.1,3.0,0.5538989262812284,0.6217032035889294,40.0,0.6665792962153455
ablation,ur5,near_singular,A1 B1 C0,True,1,1,0,,,30,96.66666666666667,8.039953798736569,1036.563283331149,649.436349995085,2125.710714998421,2465.738013990049,680.0,16.666666666666664,0.0062736282109276805,24.103219219670784,5.5439499548673385,0.1,3.0,0.6120856620192273,0.595088148012786,43.333333333333336,0.687903339114951
ablation,ur5,near_singular,A1 B0 C1,True,1,0,1,,,30,96.66666666666667,8.039953798736569,1147.0352766666717,694.654150007409,2396.2211349920835,2495.354194979591,733.3333333333334,23.333333333333332,0.0014433962806104765,20.30243241079351,4.534825760259256,0.06666666666666667,3.0,0.46824040953097046,0.6541363297195761,36.666666666666664,0.6916805724962425
ablation,ur5,near_singular,A1 B0 C0,True,1,0,0,,,30,96.66666666666667,8.039953798736569,1108.6544666662423,631.5154500043718,2352.2351300067385,2475.116165994841,720.0,20.0,0.0028009543599427627,20.460022006241033,4.5739487949603355,0.06666666666666667,3.0,0.48863602300576814,0.6545010113024432,36.666666666666664,0.7190132056799338
ablation,ur5,near_singular,A0 B1 C1,True,0,1,1,,,30,96.66666666666667,8.039953798736569,1147.2959533324076,701.0515999863856,2671.0912650072714,2703.365937001654,686.0666666666667,16.666666666666664,0.005539247477582134,14.758690653470016,2.876722550578771,0.03333333333333333,3.0,0.634834498366083,0.9818333333333334,0.0,0.7902817107021133
ablation,ur5,near_singular,A0 B1 C0,True,0,1,0,,,30,96.66666666666667,8.039953798736569,1149.0299733316835,737.1073999966029,2623.4147849783767,2646.9476070042583,699.4,16.666666666666664,0.0055843060234774125,15.591284294356333,3.034810745221645,0.03333333333333333,3.0,0.5702921984718446,0.9818333333333334,0.0,0.8040451475577443
ablation,ur5,near_singular,A0 B0 C1,True,0,0,1,,,30,93.33333333333333,9.738077094151375,1203.3717700008613,817.4885500047822,2504.8848800099217,2572.1995420131134,746.6666666666666,20.0,0.003659910563817645,39.82063330854821,7.182148097003361,0.0,3.0,0.6300311210532821,1.0,0.0,0.7329195016701409
ablation,ur5,near_singular,A0 B0 C0,True,0,0,0,,,30,93.33333333333333,9.738077094151375,1201.8266333335002,817.3204500053544,2518.1110100063956,2569.561314014427,746.6666666666666,20.0,0.0036530829283150006,40.05076849189023,7.243073374162037,0.0,3.0,0.568959441436533,1.0,0.0,0.7372205859996162
diagnostics,ur5,cluttered,CCH-IK (full V5),True,,,,,,30,93.33333333333333,9.738077094151375,1301.9005466630915,1272.6530999934766,2533.399104993441,2570.1994129948434,786.6666666666666,36.666666666666664,-0.006747023182544248,66.72076067897108,107.89982410638798,0.1,3.0,0.7037498590302167,0.6576423661312069,36.666666666666664,0.7064924113529422
diagnostics,ur5,cluttered,fixed_lambda_ik,False,,,,,,30,100.0,5.6758545695239,1298.4828799992101,904.7810500051128,2398.4073199913837,2582.597361987282,666.6666666666666,30.0,-0.0004319032714774777,42.95218368537515,5.378046017760867,0.0,3.0,0.5945402159674384,1.0,0.0,0.0
diagnostics,ur5,cluttered,protein_fast,False,,,,,,30,100.0,5.6758545695239,24.098523336579092,4.669349989853799,96.66034000838383,319.59627800330077,70.63333333333334,16.666666666666664,0.009502474484455202,0.29525867930265043,1.1503057176559228,0.0,0.16666666666666666,0.0,1.0,0.0,0.0
ablation,ur5,cluttered,A1 B1 C1,True,1,1,1,,,30,93.33333333333333,9.738077094151375,1586.201190003582,1552.7848500059918,3090.3327849984626,3367.912408011325,786.6666666666666,36.666666666666664,-0.006747023182544248,66.72076067897108,107.89982410638798,0.1,3.0,0.7037498590302167,0.6576423661312069,36.666666666666664,0.7064924113529422
ablation,ur5,cluttered,A1 B1 C0,True,1,1,0,,,30,93.33333333333333,9.738077094151375,1603.9887600005993,1515.6316000066,3316.9401150022163,3830.98308299901,773.3333333333334,36.666666666666664,-0.006589171072866737,70.21576983505766,102.68484082514746,0.06666666666666667,3.0,0.5786746626486522,0.6577168776779759,36.666666666666664,0.7073156022006555
ablation,ur5,cluttered,A1 B0 C1,True,1,0,1,,,30,100.0,5.6758545695239,1655.4560333354555,1461.8114500044612,2942.356925010971,4371.79799200647,746.6666666666666,46.666666666666664,-0.012737828083530415,52.5559790644281,16.58318084406048,0.03333333333333333,3.0,0.569807697808751,0.6328680933644291,40.0,0.7076972317517701
ablation,ur5,cluttered,A1 B0 C0,True,1,0,0,,,30,100.0,5.6758545695239,1692.5800199998775,1475.8403000014368,3223.999694995291,3421.2828680002713,733.3333333333334,43.333333333333336,-0.009212549197780138,51.36404684801618,19.228878285027807,0.03333333333333333,3.0,0.6177057771338453,0.6036618049911964,43.333333333333336,0.7180744732894289
ablation,ur5,cluttered,A0 B1 C1,True,0,1,1,,,30,100.0,5.6758545695239,1706.6889433355148,1554.9288500042167,2810.6570849980926,3159.186118000944,706.6666666666666,30.0,-0.0017819525527176107,29.51707126222939,6.512300832660501,0.0,3.0,0.7749836911123379,1.0,0.0,0.7076042506233791
ablation,ur5,cluttered,A0 B1 C0,True,0,1,0,,,30,100.0,5.6758545695239,1211.2429700054538,1243.216200004099,2137.6866350037744,2189.300782016362,706.6666666666666,26.666666666666668,0.00017897529610532703,29.798731700634214,5.711595901129701,0.0,3.0,0.7881477663534665,1.0,0.0,0.6873768503127627
ablation,ur5,cluttered,A0 B0 C1,True,0,0,1,,,30,100.0,5.6758545695239,1407.323459996648,1135.5415500001982,2499.7640750094433,2722.667683009932,693.3333333333334,33.33333333333333,-0.002355290425687001,51.63199029219048,8.80549201558182,0.0,3.0,0.5781325863273499,1.0,0.0,0.6802528892285752
ablation,ur5,cluttered,A0 B0 C0,True,0,0,0,,,30,100.0,5.6758545695239,1489.2610866673447,1502.7185999933863,2590.18625501194,2772.3093840121874,706.6666666666666,33.33333333333333,-0.0023493275124950126,51.760450518226165,10.285711574682402,0.0,3.0,0.4742672741925348,1.0,0.0,0.659271310925286
