mode,robot,scenario,label,is_v5,compA,compB,compC,c_threshold,lambda_beta,n,success_pct,ci95_pp,mean_ms,p50_ms,p95_ms,p99_ms,mean_iters,collision_pct,mean_clearance_m,mean_pos_err_mm,mean_orient_err_mrad,mean_jlv,mean_restarts,mean_conflict_index,mean_lambda_final,lambda_lt08_pct,mean_difficulty
diagnostics,ur5,open_space,CCH-IK (full V5),True,,,,,,100,94.0,4.849197002278424,1117.1179480006685,679.2494500114117,2470.1361299841665,2700.048733025906,708.92,19.0,0.01048044186335829,44.20690991914067,71.75198759351234,0.15,3.0,0.6045464756640567,0.5864715091260987,46.0,0.7368198999899603
diagnostics,ur5,open_space,fixed_lambda_ik,False,,,,,,100,95.0,4.510430190788732,1219.9621410001419,797.2023500042269,2661.6933450175566,2839.134961003438,728.19,19.0,0.009903574078560858,40.453493273338275,11.986876803663458,0.01,3.0,0.7092114761467346,0.990475,0.0,0.0
diagnostics,ur5,open_space,protein_fast,False,,,,,,100,100.0,1.8497403738000955,7.750280998880044,3.7689500022679567,14.826709991029913,56.37046598742103,47.14,2.0,0.01748421476572196,0.2453041830512932,0.741886526559007,0.0,0.06,0.0,1.0,0.0,0.0
ablation,ur5,open_space,A1 B1 C1,True,1,1,1,,,100,94.0,4.849197002278424,1247.3888639986399,798.8151500030654,2757.474240004376,2939.3223979993504,708.92,19.0,0.01048044186335829,44.20690991914067,71.75198759351234,0.15,3.0,0.6045464756640567,0.5864715091260987,46.0,0.7368198999899603
ablation,ur5,open_space,A1 B1 C0,True,1,1,0,,,100,94.0,4.849197002278424,1254.7416660006274,798.2067999982974,2816.3086249958724,3028.947320985026,723.71,19.0,0.010339956934014056,44.950352605343326,71.97517459956106,0.16,3.0,0.647886353313392,0.5958915656104502,45.0,0.7575845348681121
ablation,ur5,open_space,A1 B0 C1,True,1,0,1,,,100,94.0,4.849197002278424,1137.36588099855,692.7976499864599,2449.8609650006983,2685.382098993579,717.98,20.0,0.00916743297871434,44.43928656141804,88.7189618164192,0.14,3.0,0.6590812444768914,0.5758047908818288,48.0,0.7372941126996189
ablation,ur5,open_space,A1 B0 C0,True,1,0,0,,,100,95.0,4.510430190788732,1273.1581120018382,850.0796500011347,2939.469730004202,3330.6883519908315,714.25,18.0,0.009763522505319368,44.91200816352204,88.44097972098768,0.13,3.0,0.680169141345442,0.6022772863998214,46.0,0.7447987681438739
ablation,ur5,open_space,A0 B1 C1,True,0,1,1,,,100,94.0,4.849197002278424,1132.0010250006453,719.1491999983555,2559.4000000230153,2694.9990330135915,692.49,15.0,0.011700697229438766,33.992153146330914,11.645063976503172,0.08,3.0,0.6724601395339863,0.981225,0.0,0.7629850719682394
ablation,ur5,open_space,A0 B1 C0,True,0,1,0,,,100,93.0,5.158894285061671,1166.526548002148,736.9197000080021,2621.7895000168937,2739.280698998199,704.69,16.0,0.011478532002438323,36.82811520514772,12.784534372358232,0.09,3.0,0.7075378912576232,0.981725,0.0,0.788879207417557
ablation,ur5,open_space,A0 B0 C1,True,0,0,1,,,100,95.0,4.510430190788732,1184.1253499989398,778.1718000042019,2569.731239991961,2730.6307049994944,728.13,19.0,0.010268840403185214,40.42144366450047,11.808513584642938,0.01,3.0,0.6779422785504703,0.990325,0.0,0.7619434699162752
ablation,ur5,open_space,A0 B0 C0,True,0,0,0,,,100,95.0,4.510430190788732,1465.608477999922,1164.8715999908745,3392.560404987307,4352.008480996883,728.27,19.0,0.010273003678963768,40.480148506982694,11.983131027998915,0.01,3.0,0.6230789311512865,0.9906750000000001,0.0,0.7609818949117407
diagnostics,ur5,near_singular,CCH-IK (full V5),True,,,,,,100,93.0,5.158894285061671,1447.8403150002123,1085.9552999900188,3391.0009200131753,4077.549135002776,698.42,25.0,0.004044452696085094,36.961091704636985,41.15541051387886,0.12,3.0,0.5996770849148512,0.6462398718707333,39.0,0.651463882166248
diagnostics,ur5,near_singular,fixed_lambda_ik,False,,,,,,100,93.0,5.158894285061671,1118.7191840005107,724.6626999985892,2424.554040000657,2580.269179999306,696.26,23.0,0.004569358954037376,38.70455838210748,19.074646329641475,0.03,3.0,0.5791657509407812,0.99065,0.0,0.0
diagnostics,ur5,near_singular,protein_fast,False,,,,,,100,100.0,1.8497403738000955,23.52728499827208,4.15515000349842,116.7852399885304,363.27254401199775,80.17,6.0,0.015163894056255203,0.3205967521112857,1.0140941624101576,0.0,0.25,0.0,1.0,0.0,0.0
ablation,ur5,near_singular,A1 B1 C1,True,1,1,1,,,100,93.0,5.158894285061671,1161.020272000751,1021.2811000092188,2454.9627850195975,2713.6015950041487,698.42,25.0,0.004044452696085094,36.961091704636985,41.15541051387886,0.12,3.0,0.5996770849148512,0.6462398718707333,39.0,0.651463882166248
ablation,ur5,near_singular,A1 B1 C0,True,1,1,0,,,100,92.0,5.444484965410989,1086.3294970011339,651.4141999941785,2395.587905017601,2496.513152022673,709.06,22.0,0.005480918699252653,35.77297653005294,41.06822827060079,0.13,3.0,0.6149698297969632,0.6387268398469615,39.0,0.6725325029943747
ablation,ur5,near_singular,A1 B0 C1,True,1,0,1,,,100,93.0,5.158894285061671,1095.201976999815,647.4140999926021,2380.7462250013486,2514.274642999808,708.6,30.0,8.535950096410367e-06,36.367243300636474,13.362715255644705,0.1,3.0,0.5093820308333733,0.6599417614450332,37.0,0.619299470461652
ablation,ur5,near_singular,A1 B0 C0,True,1,0,0,,,100,93.0,5.158894285061671,1068.0918630002998,626.4790999848628,2383.0325800227,2490.7416340048076,696.88,27.0,0.002087675342668877,32.55676220592197,15.590862362563918,0.07,3.0,0.5699501753276318,0.6632766568225419,38.0,0.6448504443445185
ablation,ur5,near_singular,A0 B1 C1,True,0,1,1,,,100,93.0,5.158894285061671,1125.762455999502,686.4451000001281,2511.371115007205,2628.3568069789917,699.46,22.0,0.00484164599893043,26.687525347681866,5.100955045041557,0.03,3.0,0.6665932549516254,0.9786499999999999,0.0,0.6960240308952105
ablation,ur5,near_singular,A0 B1 C0,True,0,1,0,,,100,93.0,5.158894285061671,1128.6655989993596,694.8369500169065,2524.7701700005564,2599.989936002239,704.38,22.0,0.005047476134927613,27.491126318685964,4.408473597431234,0.02,3.0,0.5844931211038492,0.98095,0.0,0.6677761455212736
ablation,ur5,near_singular,A0 B0 C1,True,0,0,1,,,100,92.0,5.444484965410989,1157.5878320002812,770.1223500043852,2513.6219449937926,2641.697263990646,719.41,25.0,0.0035440430208846644,39.05455087337905,20.296255475815556,0.04,3.0,0.577065898955055,0.9885250000000001,0.0,0.6320898889476531
ablation,ur5,near_singular,A0 B0 C0,True,0,0,0,,,100,92.0,5.444484965410989,1154.3455489980988,734.3356500059599,2500.847970013274,2674.265868992662,719.41,24.0,0.0035386651077233206,39.43137199895339,20.57309395950781,0.04,3.0,0.5567464795309409,0.9885250000000001,0.0,0.6241754659836896
diagnostics,ur5,cluttered,CCH-IK (full V5),True,,,,,,100,92.0,5.444484965410989,1235.973788999836,1163.133049980388,2469.5224499999313,2856.92870101106,794.98,41.0,-0.011816604942201103,62.572572087529004,92.37498970159128,0.09,3.0,0.6746756424254867,0.5877221307102813,46.0,0.7024883141165579
diagnostics,ur5,cluttered,fixed_lambda_ik,False,,,,,,100,97.0,3.71332212903061,1213.0500770005165,898.5739500058116,2564.8039600011543,2872.2143009840524,702.02,33.0,-0.0041897273864962845,47.45930989367255,19.213606516441907,0.02,3.0,0.6448447798464647,0.99505,0.0,0.0
diagnostics,ur5,cluttered,protein_fast,False,,,,,,100,100.0,1.8497403738000955,15.789428999414667,4.790349994436838,57.40961000701631,219.36237898538874,74.08,13.0,0.011348944838063386,0.33581409001516505,1.2197701068623032,0.0,0.21,0.0,1.0,0.0,0.0
ablation,ur5,cluttered,A1 B1 C1,True,1,1,1,,,100,92.0,5.444484965410989,1220.6230310013052,1169.1458499990404,2463.4482049863436,2550.60673197906,794.98,41.0,-0.011816604942201103,62.572572087529004,92.37498970159128,0.09,3.0,0.6746756424254867,0.5877221307102813,46.0,0.7024883141165579
ablation,ur5,cluttered,A1 B1 C0,True,1,1,0,,,100,94.0,4.849197002278424,1181.3704099983443,819.9973000009777,2455.7120249955915,2508.5583880130434,759.75,41.0,-0.011143403520195177,75.93759435194424,113.19468175764126,0.09,3.0,0.608602757525809,0.62741764590066,42.0,0.6919103356910484
ablation,ur5,cluttered,A1 B0 C1,True,1,0,1,,,100,97.0,3.71332212903061,1115.0832860017545,733.1464500020957,2400.459184986539,2571.2655299983453,722.7,45.0,-0.013045736260862752,42.2230913919628,9.54275788290476,0.07,3.0,0.5584815702140915,0.6147922861472412,40.0,0.6684916118566882
ablation,ur5,cluttered,A1 B0 C0,True,1,0,0,,,100,96.0,4.135456088711289,1117.0395240018843,746.3464000175009,2399.1057899940643,2566.0711050214018,718.7,44.0,-0.01286101001656351,45.40645381619477,38.37427421518506,0.07,3.0,0.6050410524800953,0.6161061261495573,41.0,0.6651162375885636
ablation,ur5,cluttered,A0 B1 C1,True,0,1,1,,,100,97.0,3.71332212903061,1211.0016110009747,957.5554000039119,2675.0550200173166,2764.757101007272,736.87,34.0,-0.004754088294625723,38.04278917677639,14.821773681085894,0.03,3.0,0.6942648052237642,0.992175,0.0,0.7088733665716144
ablation,ur5,cluttered,A0 B1 C0,True,0,1,0,,,100,97.0,3.71332212903061,1214.9705069998163,1115.806950008846,2633.618509990629,2758.6686079937504,740.89,32.0,-0.004161363630914961,38.53865655594867,14.866057967772717,0.02,3.0,0.6611635533909856,0.9922249999999999,0.0,0.704394875948497
ablation,ur5,cluttered,A0 B0 C1,True,0,0,1,,,100,98.0,3.225565535351275,1149.2821949993959,759.6794499986572,2528.671539989591,2775.2533510033395,701.99,33.0,-0.004519405628127246,47.30009356028491,17.91535660652669,0.03,3.0,0.620899611254907,0.994975,0.0,0.7222688007369554
ablation,ur5,cluttered,A0 B0 C0,True,0,0,0,,,100,98.0,3.225565535351275,1148.476423000684,780.0824500009185,2524.4481400062796,2757.298518028402,702.79,33.0,-0.004376221266624513,48.628466252739685,17.15571217662411,0.02,3.0,0.5845955045692403,0.996975,0.0,0.7029575240794083
